title,author,condition,price
Mr Fortune's Maggot,by Sylvia Townsend Warner,New,£8.49
Chess,by Stefan Zweig,Very Good,£4.20
The Three Musketeers,by Alexandre Dumas,Very Good,£4.10
The Lost Steps,by Alejo Carpentier,Very Good,£13.00
Lost Illusions,by Herbert Hunt,Very Good,£4.10
The Tempest in Plain and Simple English,by Bookcaps,Very Good,£3.49
The Return of the Native,by Thomas Hardy,Very Good,£3.50
Highland River,by Neil M. Gunn,Very Good,£9.00
Doctor Faustus,by Thomas Mann,New,£11.39
Doctor Faustus,by Thomas Mann,Like New,£9.40
Dead Souls,by Nikolai Gogol,Good,£16.99
Finnegans Wake,by James Joyce,Very Good,£3.99
War and Peace (Vintage Classic Russians Series),by Leo Tolstoy,Very Good,£6.90
"The History of Rasselas, Prince of Abissinia",by Samuel Johnson,Very Good,£10.99
Under The Net (Vintage Classics Murdoch Series),by Iris Murdoch,Very Good,£7.90
The Flint Anchor,by Sylvia Townsend Warner,Very Good,£9.99
Transformation,by Mary Shelley,Very Good,£7.99
The Wedding Group,by Elizabeth Taylor,Very Good,£8.80
Jamaica Inn,by Daphne Du Maurier,Very Good,£10.00
Nicholas Nickleby,by Charles Dickens,Very Good,£3.50
Don Quixote,by Miguel de Cervantes,Very Good,£6.90
The Wonderful Wizard of Oz,by L. Frank Baum,Well Read,£3.49
Ghostly Tales,by Chronicle Books,Very Good,£14.00
Germinal,by Roger Pearson,Like New,£6.10
Gulliver's Travels,by Jonathan Swift,Very Good,£3.60
The Ministry of Fear,by Graham Greene,Very Good,£6.50
Dombey and Son,by Charles Dickens,Very Good,£3.50
Silas Marner,by George Eliot,Very Good,£5.30
The Eye,by Vladimir Nabokov,Very Good,£9.99
