title,author,condition,price
Cyril Tawney - A Mayflower Garland,by Cyril Tawney,Audio CD,£20.99
"Uncle Earl - Waterloo, Tennessee",by Uncle Earl,Audio CD,£3.59
Patsy Reid - A Glint O' Scottish Fiddle,by Patsy Reid,Audio CD,£10.99
The Black Family,by The Black Family,Audio CD,£8.49
Brona McVittie - We Are The Wildlife,by Brona McVittie,Audio CD,£3.99
Cowboys For Indians,by Stephen Stills & David Crosby,Audio CD,£9.99
Jim Causley - Cyprus Well,by Jim Causley,Audio CD,£5.99
Various Artists - Reggae Country,by Various Artists,Audio CD,£11.99
Lauren MacColl & The MacCollective - Strewn With Ribbons,by Lauren MacColl & The MacCollective,Audio CD,£5.99
Justine - Justine (Digi- Pak),by Justine,Audio CD,£5.99
Leisure Society - The Sleeper/A Product Of The Ego Drain,by Leisure Society,Audio CD,£3.59
Down Memory Lane,by Isla Grant,Audio CD,£20.99
Jim Moray - Skulk,by Jim Moray,Audio CD,£5.99
Dublin City Ramblers - Best Of,by Dublin City Ramblers,Audio CD,£4.99
Charlie Gracie - Fabulous! Charlie Gracie (DVD) (NTSC) (US Import),by Charlie Gracie,DVD,£17.99
Sarah McLachlan - Rarities B-Sides and Other Stuff Volume 2,by Sarah McLachlan,Audio CD,£3.99
Martyn Bennett - Aye - The Best Of Martyn Bennett,by Martyn Bennett,Audio CD,£39.99
Cattle & Cane - Home,by Cattle & Cane,Audio CD,£4.99
Belshazzar's Feast - Frost Bites,by Belshazzar's Feast,Audio CD,£8.49
Love - Da Capo,by Love,Audio CD,£18.99
Leonard Cohen - The Spirit Of Radio (3cd),by Leonard Cohen,Audio CD,£20.99
Cecil Sharp Project - Cecil Sharp Project,by Cecil Sharp Project,Audio CD,£3.59
Edward II - Wicked Men,by Edward II,Audio CD,£3.59
Granny's Attic - Wheels Of The World,by Granny's Attic,Audio CD,£20.99
Roy Bailey - Why Does It Have to Be Me?,by Roy Bailey,Audio CD,£20.99
The Glencraig Scottish Dance Band - The Reel Party: Are Ye Askin',by The Glencraig Scottish Dance Band,Audio CD,£3.59
Rev Hammer - Industrial Sound and Magic,by Rev Hammer,Audio CD,£3.59
Seavaigers,by Chris Stout & Catriona McKay,Audio CD,£20.99
Isla Grant - By Request,by Isla Grant,Audio CD,£65.99
Woven Cord,,Audio CD,£3.59
JOHN MCNICHOLL - THE SINGLES,by JOHN MCNICHOLL,Audio CD,£6.99
Blazin' Fiddles - Live,by Blazin' Fiddles,Audio CD,£6.49
Band Of Hope - Rhythms and Reds,by Band Of Hope,Audio CD,£20.99
Various Artists - Good Humour For The Rest Of The Night (The Voice of The People Vol.25),by Various Artists,Audio CD,£7.99
Mr Mcfall'S Chamber - Birds & Beasts: Music By Martyn Bennett And Fraser Fifield,by Mr Mcfall'S Chamber,Audio CD,£20.99
John Otway & Wild Willy Barrett - Otway & Barrett + Deep And Meaningless,by John Otway & Wild Willy Barrett,Audio CD,£19.99
Baltimore Consort - On the Banks of Helicon: Early Music of Scotland,by Baltimore Consort,Audio CD,£6.99
Various - Line Dance Fever 2,by Various,Audio CD,£3.59
In the Flesh Live,"by Waters, Roger",Audio CD,£20.99
Highlander's Farewell,by Alasdair Fraser And Natalie Haas,Audio CD,£20.99
Eddi Reader - Back The Dogs EP,by Eddi Reader,Audio CD,£20.99
Michael Chapman - Deal Gone Down,by Michael Chapman,Audio CD,£8.49
Bob Fox & Stu Luckley - Box Of Gold,by Bob Fox & Stu Luckley,Audio CD,£10.99
Alison Brown Quartet,by Alison Brown Quartet,Audio CD,£10.99
Lick The Tins - Blind Man On A Flying Horse,by Lick The Tins,Audio CD,£24.99
The Staves - Blood I Bled,by The Staves,Audio CD,£20.99
Diversions,,Audio CD,£8.99
A.A. BONDY - When the Devil's Loose,by A.A. BONDY,Audio CD,£9.99
Green Diesel - After Comes The Dark,by Green Diesel,Audio CD,£11.99
Sandy Denny - Rendezvous,by Sandy Denny,Audio CD,£46.99
Promenade,by Lindisfarne,Audio CD,£20.99
Winds of Change,"by Fureys, the",Audio CD,£3.59
MARTIN BARRE - ORDER OF PLAY,by MARTIN BARRE,Audio CD,£11.99
Six Organs of Admittance - Companion Rises,by Six Organs of Admittance,Audio CD,£13.99
Stan Rogers - Turn Around,by Stan Rogers,Audio CD,£20.99
Reg Meuross - Faraway People,by Reg Meuross,Audio CD,£20.99
Various - Club Mix 96,by Various,Audio CD,£3.59
The Chieftains - Chieftains Vol 6: Bonaparte's Retreat,by The Chieftains,Audio CD,£19.99
Scottish Love Songs,by Browne Ronnie,Audio CD,£4.99
John Hiatt - Terms of My Surrender,by John Hiatt,Audio CD,£8.49
Reg Meuross - Raw (2CD),by Reg Meuross,Audio CD,£10.99
Dar Williams - In The Time Of The God'S,by Dar Williams,Audio CD,£3.59
Gordon Giltrap & Paul Ward - The Last Of England,by Gordon Giltrap & Paul Ward,Audio CD,£12.99
De Danann - Wonderwaltz,by De Danann,Audio CD,£8.49
Four Men & a Dog - Barking Mad,by Four Men & a Dog,Audio CD,£5.49
Jerry Douglas - Transatlantic Sessions 3: Volume Two,by Jerry Douglas,Audio CD,£19.99
Dick Black - Modern Sequence Dancing,by Dick Black,Audio CD,£20.99
Michael McGoldrick - Aurora,by Michael McGoldrick,Audio CD,£11.99
Kathryn Williams - Little Black Numbers (Original),by Kathryn Williams,Audio CD,£3.59
Rachel Newton - Here's My Heart Come Take It,by Rachel Newton,Audio CD,£5.49
Maz O'Connor (Artist) - Sweet Liberties,by Maz O'Connor (Artist),Audio CD,£11.99
Trembling Bells Feat. Bonnie Prince Billy - The Marble Downs,by Trembling Bells Feat. Bonnie Prince Billy,Audio CD,£5.49
Changeling,by Rachel Newton,Audio CD,£6.99
The Holy Modal Rounders - The Holy Modal Rounders 1 & 2,by The Holy Modal Rounders,Audio CD,£18.99
Various Artists - A Drop In Your Hand: 30 Irish Christmas Favourites,by Various Artists,Audio CD,£3.59
Ewan MacColl - An Introduction to Ewan MacColl,by Ewan MacColl,Audio CD,£20.99
Police Dog Hogan - Westward Ho!,by Police Dog Hogan,Audio CD,£17.99
Fureys - When You Were Sweet Sixteen (A,by Fureys,Audio CD,£20.99
The Ultimate Guide To Scottish Folk,by Various Artists,Audio CD,£20.99
"St Agnes Fountain - Best Of St Agnes Fountain, The",by St Agnes Fountain,Audio CD,£5.49
Polly Paulusma - Invisible Music - Folk Songs That Influenced Angela Carter (Hardback CD),by Polly Paulusma,Audio CD,£20.99
False Lights - Salvor,by False Lights,Audio CD,£4.99
Mean Mary - Blazing (Hell Is Naked Soundtrack),by Mean Mary,Audio CD,£20.99
L nasa - Redwood,by L nasa,Audio CD,£3.59
Martin Carthy - Right Of Passage,by Martin Carthy,Audio CD,£4.49
The Salts - Brave,by The Salts,Audio CD,£6.99
Darkher - The Kingdom Field,by Darkher,Audio CD,£20.99
Incredible String Band - Tricks Of The Senses,by Incredible String Band,Audio CD,£20.99
Polly Niles - Sunshine In My Rainy Day Mind: The Lost Album,by Polly Niles,Audio CD,£12.99
June Tabor - Apples,by June Tabor,Audio CD,£5.99
Various Artists - Glasgow Celtic FC Anthems,by Various Artists,AudioCD,£20.99
Cave Singers - Invitation Songs,by Cave Singers,Audio CD,£3.59
Plainsong - In Search Of Amelia Earhart,by Plainsong,Audio CD,£20.99
Little Johnny England - 10 Years On,by Little Johnny England,Audio CD,£20.99
The Monks of Glenstal Abbey - Gregorian Chants,by The Monks of Glenstal Abbey,Audio CD,£5.49
Blue Rose Code - And Lo! The Bird Is On The Wing,by Blue Rose Code,Audio CD,£20.99
Charlie Parr - Dog,by Charlie Parr,Audio CD,£20.99
Blair Dunlop - Trails: Queensland,by Blair Dunlop,Audio CD,£5.49
Magna Carta - Midnight Blue / Live & Let Live,by Magna Carta,Audio CD,£6.99
The Tulla Ceili Band - Irish Ceili Music - The Essential Collection featuring All Ireland Champions,by The Tulla Ceili Band,Audio CD,£4.99
The Tara Singers - Scottish Sing-A-Long,by The Tara Singers,Audio CD,£20.99
Jonathan Jeremiah - A Solitary Man,by Jonathan Jeremiah,Audio CD,£3.59
